id,parent_id,leaf,name,label,detail,link,pmid,sort,root_url,sample_url,field_type,keyword_searchable,value_type,version
81,26,True,ANNOVAR_ucsc_Transcript_ID,,"""UCSC transcript IDs corresponding to consequences. Multiple IDs are separated by ""|""""",,,,,,text,True,,
82,26,True,ANNOVAR_ucsc_summary,,"""ANNOVAR consequence summary with UCSC as gene model. Format: GeneID(total number of transcripts):consequence#1(number of transcripts affected) consequence#2(number of transcripts affected)... Multiple genes are separated by ""|""""",,,,,,text,True,,
85,83,True,flanking_0_GO_biological_process_complete_list_id,Flanking region 0  GO biological process complete,The complete GO biological process annotations queried through PANTHER API for the gene(s) when the variant is within the gene region with 0 flanking region.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
87,83,True,flanking_0_GO_cellular_component_complete_list_id,Flanking region 0 GO cellular component complete,The complete GO cellular component annotations queried through PANTHER API for the gene(s) when the variant is within the gene region with 0 flanking region.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
89,83,True,flanking_0_GO_molecular_function_complete_list_id,Flanking region 0 GO molecular function complete,The complete GO molecular function annotations queried through PANTHER API for the gene(s) when the variant is within the gene region with 0 flanking region.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
91,83,True,flanking_0_PANTHER_GO_SLIM_biological_process_list_id,Flanking region 0 PANTHER GO-Slim Biological Process,The PANTHER GO-Slim Biological Process annotations queried through PANTHER API for the gene(s) when the variant is within the gene region with 0 flanking region.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
93,83,True,flanking_0_PANTHER_GO_SLIM_cellular_component_list_id,Flanking region 0 PANTHER GO-Slim Cellular Component,The PANTHER GO-Slim Cellular Component annotations queried through PANTHER API for the gene(s) when the variant is within the gene region with 0 flanking region.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
95,83,True,flanking_0_PANTHER_GO_SLIM_molecular_function_list_id,Flanking region 0 PANTHER GO-Slim Molecular Function,The PANTHER GO-Slim Molecular Function annotations queried through PANTHER API for the gene(s) when the variant is within the gene region with 0 flanking region.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
632,83,True,flanking_0_PANTHER_protein_class_list_id,Flanking region 0 PANTHER Protein Class,The PANTHER Protein Class annotations queried through PANTHER API for the gene(s) when the variant is within the gene region with 0 flanking region.,,,,https://pantherdb.org/panther/category.do?categoryAcc=,,text,True,term_id,"PANTHER UPL 19, released 2024-06-20"
97,83,True,flanking_0_PANTHER_pathway_list_id,Flanking region 0 PANTHER Pathways,The PANTHER Pathway annotations queried through PANTHER API for the gene(s) when the variant is within the gene region with 0 flanking region.,,,,https://pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=,,text,True,term_id,"PANTHER UPL 19, released 2024-06-20"
99,83,True,flanking_0_REACTOME_pathway_list_id,Flanking region 0 Reactome pathways,The Reactome Pathway annotations queried through PANTHER API for the gene(s) when the variant is within the gene region with 0 flanking region.,,,,https://reactome.org/PathwayBrowser/#/,,text,True,term_id,"Reactome database version 86, released 2023-09-07"
101,83,True,flanking_10000_GO_biological_process_complete_list_id,Flanking region 10000 GO biological process complete,The complete GO biological process annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 10k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
103,83,True,flanking_10000_GO_cellular_component_complete_list_id,Flanking region 10000 GO cellular component complete,The complete GO cellular component annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 10k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
105,83,True,flanking_10000_GO_molecular_function_complete_list_id,Flanking region 10000 GO molecular function complete,The complete GO molecular function annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 10k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
107,83,True,flanking_10000_PANTHER_GO_SLIM_biological_process_list_id,Flanking region 10000 PANTHER GO-Slim Biological Process,The PANTHER GO-Slim Biological Process annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 10k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
109,83,True,flanking_10000_PANTHER_GO_SLIM_cellular_component_list_id,Flanking region 10000 PANTHER GO-Slim Cellular Component,The PANTHER GO-Slim Cellular Component annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 10k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
111,83,True,flanking_10000_PANTHER_GO_SLIM_molecular_function_list_id,Flanking region 10000 PANTHER GO-Slim Molecular Function,The PANTHER GO-Slim Molecular Function annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 10k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
633,83,True,flanking_10000_PANTHER_protein_class_list_id,Flanking region 10000 PANTHER Protein Class,The PANTHER Protein Class annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 10k flanking regions on either end.,,,,https://pantherdb.org/panther/category.do?categoryAcc=,,text,True,term_id,"PANTHER UPL 19, released 2024-06-20"
113,83,True,flanking_10000_PANTHER_pathway_list_id,Flanking region 10000 PANTHER Pathways,The PANTHER Pathway annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 10k flanking regions on either end.,,,,https://pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=,,text,True,term_id,"PANTHER UPL 19, released 2024-06-20"
115,83,True,flanking_10000_REACTOME_pathway_list_id,Flanking region 10000 Reactome pathways,The Reactome Pathway annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 10k flanking regions on either end.,,,,https://reactome.org/PathwayBrowser/#/,,text,True,term_id,"Reactome database version 86, released 2023-09-07"
117,83,True,flanking_20000_GO_biological_process_complete_list_id,Flanking region 20000 GO biological process complete,The complete GO biological process annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 20k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
119,83,True,flanking_20000_GO_cellular_component_complete_list_id,Flanking region 20000 GO cellular component complete,The complete GO cellular component annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 20k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
121,83,True,flanking_20000_GO_molecular_function_complete_list_id,Flanking region 20000 GO molecular function complete,The complete GO molecular function annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 20k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
123,83,True,flanking_20000_PANTHER_GO_SLIM_biological_process_list_id,Flanking region 20000 PANTHER GO-Slim Biological Process,The PANTHER GO-Slim Biological Process annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 20k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
125,83,True,flanking_20000_PANTHER_GO_SLIM_cellular_component_list_id,Flanking region 20000 PANTHER GO-Slim Cellular Component,The PANTHER GO-Slim Cellular Component annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 20k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
127,83,True,flanking_20000_PANTHER_GO_SLIM_molecular_function_list_id,Flanking region 20000 PANTHER GO-Slim Molecular Function,The PANTHER GO-Slim Molecular Function annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 20k flanking regions on either end.,,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
634,83,True,flanking_20000_PANTHER_protein_class_list_id,Flanking region 20000 PANTHER Protein Class,The PANTHER Pathway annotations queried through PANTHER API for the gene(s) when the variant is within the gene region plus 20k flanking regions on either end.,,,,https://pantherdb.org/panther/category.do?categoryAcc=,,text,True,term_id,"PANTHER UPL 19, released 2024-06-20"
